"response","var","time","level","predicted.value","standard.error","est.status"
"glucose","Adiponectin",75,"16.423907550144",120.51219173405,1.95091858115776,"Estimable"
"glucose","Adiponectin",84.0000000001,"10.1860731707317",123.738100491087,1.33594542755686,"Estimable"
"glucose","Adiponectin",84.0000000001,"16.423907550144",121.466557441465,1.96968117877497,"Estimable"
"glucose","Adiponectin",90,"10.1860731707317",124.210619103013,1.34651238625792,"Estimable"
"glucose","Adiponectin",90,"16.423907550144",121.756754873111,1.97830286376419,"Estimable"
"glucose","Adiponectin",99.0000000001,"10.1860731707317",124.344411548964,1.3620749717555,"Estimable"
"glucose","Adiponectin",99.0000000001,"16.423907550144",121.672981460658,1.98520653806375,"Estimable"
"glucose","Adiponectin",108.0000000002,"10.1860731707317",123.78822142856,1.38149846063114,"Estimable"
"glucose","Adiponectin",108.0000000002,"16.423907550144",120.966324576278,1.98852664911134,"Estimable"
"glucose","Adiponectin",117.0000000003,"10.1860731707317",122.542048741798,1.41258758308364,"Estimable"
"glucose","Adiponectin",117.0000000003,"16.423907550144",119.636784219971,1.99673843376792,"Estimable"
"glucose","Adiponectin",120,"10.1860731707317",121.973328387088,1.42729746053714,"Estimable"
"glucose","Adiponectin",120,"16.423907550144",119.055185551954,2.00270142204449,"Estimable"
"glucose","Adiponectin",129.0000000001,"10.1860731707317",119.807178945211,1.49045983469659,"Estimable"
"glucose","Adiponectin",129.0000000001,"16.423907550144",116.895133899767,2.03845498169851,"Estimable"
"glucose","Adiponectin",138.0000000002,"10.1860731707317",116.951046936977,1.59111372650709,"Estimable"
"glucose","Adiponectin",138.0000000002,"16.423907550144",114.112198775653,2.11491328079551,"Estimable"
"glucose","Adiponectin",147.0000000003,"10.1860731707317",113.404932362386,1.73907276530236,"Estimable"
"glucose","Adiponectin",147.0000000003,"16.423907550144",110.706380179612,2.24975451898546,"Estimable"
"glucose","Adiponectin",150,"10.1860731707317",112.069564711819,1.80012841519953,"Estimable"
"glucose","Adiponectin",150,"16.423907550144",109.432688765093,2.31030031795757,"Estimable"
"glucose","Adiponectin",159.0000000001,"10.1860731707317",107.603473382112,2.02052632723592,"Estimable"
"glucose","Adiponectin",159.0000000001,"16.423907550144",105.196358873172,2.5441920539311,"Estimable"
"glucose","Adiponectin",168.0000000002,"10.1860731707317",102.447399486049,2.29768306482422,"Estimable"
"glucose","Adiponectin",168.0000000002,"16.423907550144",100.337145509324,2.86053509717469,"Estimable"
"glucose","Adiponectin",177.0000000003,"10.1860731707317",96.6013430236293,2.63093973269838,"Estimable"
"glucose","Adiponectin",177.0000000003,"16.423907550144",94.8550486735488,3.26018965713469,"Estimable"
"glucose","Adiponectin",180,"10.1860731707317",94.4993280772036,2.75419237193863,"Estimable"
"glucose","Adiponectin",180,"16.423907550144",92.8892645125288,3.41154971239085,"Estimable"
"glucose","TG",0,"16.1684180609756",84.8255165215593,2.12126672863626,"Estimable"
"glucose","TG",0,"42.3188794196802",88.3441462202115,2.95189789041156,"Estimable"
"glucose","TG",9.0000000001,"16.1684180609756",92.0416608715132,1.84246976544025,"Estimable"
"glucose","TG",9.0000000001,"42.3188794196802",95.173467067771,2.57271691196667,"Estimable"
"glucose","TG",15,"16.1684180609756",96.4593039420544,1.6912153987206,"Estimable"
"glucose","TG",15,"42.3188794196802",99.3533675103063,2.36760431641537,"Estimable"
"glucose","TG",24.0000000001,"16.1684180609756",102.496088804092,1.51686681322479,"Estimable"
"glucose","TG",24.0000000001,"42.3188794196802",105.063747990701,2.13217791554077,"Estimable"
"glucose","TG",30,"16.1684180609756",106.127492216045,1.4344715636766,"Estimable"
"glucose","TG",30,"42.3188794196802",108.49768818848,2.02162728782947,"Estimable"
"glucose","TG",39.0000000001,"16.1684180609756",110.984917590166,1.35613237545094,"Estimable"
"glucose","TG",39.0000000001,"42.3188794196802",113.08912830171,1.91758002541438,"Estimable"
"glucose","TG",48.0000000002,"16.1684180609756",115.134727271531,1.32138006424401,"Estimable"
"glucose","TG",48.0000000002,"42.3188794196802",117.009204194633,1.87269143255357,"Estimable"
